,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,trait,indice,fold,subset,archi,species_loss,func_loss
0,richness,0.020827660181115815,95.6275800810671,0.3218370655363415,2.609930663210421e-28,0.340698111324171,9.918533793887664e-32,raw,,,1,test,sdm,sdm,sdm
1,LNC_cm,-0.2532952730752762,4.030763068544564,-0.014397886526754661,0.6308931405921139,-0.016263214839535974,0.5873187915378781,raw,LNC,cm,1,test,sdm,sdm,sdm
2,SLA_cm,-0.20092289889655102,12.385917579321616,0.012002220033197585,0.6887748107736718,0.012500410686807387,0.6765728154770307,raw,SLA,cm,1,test,sdm,sdm,sdm
3,PLH_cm,-0.3415862950353743,129.44061208042882,-0.016332803099271122,0.5857204385712095,-0.005260844582561742,0.8606466047968611,raw,PLH,cm,1,test,sdm,sdm,sdm
4,LNC_cstd,-77.07238367087233,130.3015497693118,-0.013364857574228464,0.6556016930388507,-0.03970553508775342,0.18501776344319854,raw,LNC,cstd,1,test,sdm,sdm,sdm
5,SLA_cstd,-84.30285841998163,116.81792938442821,0.144217168479447,1.3134039991411627e-06,0.1455350067707907,1.0480470169492125e-06,raw,SLA,cstd,1,test,sdm,sdm,sdm
6,PLH_cstd,-3.23301384524315,122.6044969427529,-0.0486842253306919,0.10405285045505897,-0.06432250054454988,0.03166513991630235,raw,PLH,cstd,1,test,sdm,sdm,sdm
7,average,-23.626176106131886,87.31554984369357,,,,,raw,,,1,test,sdm,sdm,sdm
8,weighted,-1.5501355168465356,,,,,,raw,,,1,test,sdm,sdm,sdm
9,richness,-777.780474850304,76056.9811827957,0.15804314962749222,1.113509112597232e-07,0.14957657296505927,5.180451210603244e-07,opth,,,1,test,sdm,sdm,sdm
10,LNC_cm,-0.19300612314261545,3.836865202492436,0.012306892338247695,0.6813027367461976,0.00556387327792185,0.8527089246904436,opth,LNC,cm,1,test,sdm,sdm,sdm
11,SLA_cm,-0.2794838271654756,13.196168748141837,0.06925548030309872,0.020680070129306134,0.062381960862953445,0.037190872167916535,opth,SLA,cm,1,test,sdm,sdm,sdm
12,PLH_cm,-0.5687648558628045,151.3595390058698,0.03427384895483231,0.25261315006754065,0.04714686707166987,0.11545827119467195,opth,PLH,cm,1,test,sdm,sdm,sdm
13,LNC_cstd,-0.04851985021125338,1.7499627271837142,0.017648051653684504,0.5558972757739319,0.005690501440400744,0.8493963251796776,opth,LNC,cstd,1,test,sdm,sdm,sdm
14,SLA_cstd,-3.602619246609712,6.303053146082127,0.002503161126212701,0.9334313266114864,-0.003719990417286245,0.9012096973137308,opth,SLA,cstd,1,test,sdm,sdm,sdm
15,PLH_cstd,-2.662994493475684,106.09452593247148,0.02362054331030417,0.4305169126316092,0.0338722564443122,0.25821809545843644,opth,PLH,cstd,1,test,sdm,sdm,sdm
16,average,-112.16226617811023,10905.645899651136,,,,,opth,,,1,test,sdm,sdm,sdm
17,weighted,-317.50999040419845,,,,,,opth,,,1,test,sdm,sdm,sdm
18,richness,-0.021692901359563033,98.52457157002313,0.3077640395952712,6.530929948682541e-26,0.3065633951720226,1.0319389216301522e-25,raw,,,2,test,sdm,sdm,sdm
19,LNC_cm,-0.23936870815529487,3.823445810118917,-0.039528678170452226,0.1869839409761057,-0.036865372159673615,0.21847834053747006,raw,LNC,cm,2,test,sdm,sdm,sdm
20,SLA_cm,-0.13989277450836712,11.717140430820992,-0.007446628998589479,0.8037544409797348,-0.0021378247805852154,0.9431291701457147,raw,SLA,cm,2,test,sdm,sdm,sdm
21,PLH_cm,-0.23100641777756148,115.64529951197589,0.02667749250554808,0.37327063503149793,0.021089999730892497,0.4815363902348825,raw,PLH,cm,2,test,sdm,sdm,sdm
22,LNC_cstd,-77.58413624747679,130.74864229946047,0.0001609077811258932,0.9957158945100364,-0.016490311745382548,0.5821101347367603,raw,LNC,cstd,2,test,sdm,sdm,sdm
23,SLA_cstd,-77.61431848003497,114.53319015800422,0.14641350786601848,9.006553312928221e-07,0.1453975194952507,1.073117314608742e-06,raw,SLA,cstd,2,test,sdm,sdm,sdm
